OS,Scene,Algorithm,Time
Windows,coffee-splash,bvh,1947.9
Windows,coffee-splash,kdtree,2378.2
Windows,coffee-splash,mitchell,1998
Windows,coffee-splash,sinc,2012.2
Windows,ganesha,bvh,739.2
Windows,ganesha,kdtree,1068.4
Windows,ganesha,mitchell,748.3
Windows,ganesha,sinc,784.5
Windows,pbrt-book,bvh,2333.4
Windows,pbrt-book,kdtree,2291.2
Windows,pbrt-book,mitchell,2392.1
Windows,pbrt-book,sinc,2446.6
Windows,sssdragon,bvh,1972.1
Windows,sssdragon,kdtree,4153.6
Windows,sssdragon,mitchell,2052.2
Windows,sssdragon,sinc,2045.9
WSL,coffee-splash,bvh,1366.5
WSL,coffee-splash,kdtree,1693.2
WSL,coffee-splash,mitchell,1437.1
WSL,coffee-splash,sinc,1462.1
WSL,ganesha,bvh,624.5
WSL,ganesha,kdtree,795.3
WSL,ganesha,mitchell,614.6
WSL,ganesha,sinc,639.8
WSL,pbrt-book,bvh,1821.6
WSL,pbrt-book,kdtree,1861.6
WSL,pbrt-book,mitchell,1775.8
WSL,pbrt-book,sinc,1876.8
WSL,sssdragon,bvh,1837.3
WSL,sssdragon,kdtree,3402
WSL,sssdragon,mitchell,1857.6
WSL,sssdragon,sinc,1853.1
LinuxVM,coffee-splash,bvh,1564.3
LinuxVM,coffee-splash,kdtree,1895.2
LinuxVM,coffee-splash,mitchell,1565.4
LinuxVM,coffee-splash,sinc,1654.9
LinuxVM,ganesha,bvh,714.2
LinuxVM,ganesha,kdtree,938.9
LinuxVM,ganesha,mitchell,713.5
LinuxVM,ganesha,sinc,743.4
LinuxVM,pbrt-book,bvh,1994.6
LinuxVM,pbrt-book,kdtree,2024.3
LinuxVM,pbrt-book,mitchell,2084
LinuxVM,pbrt-book,sinc,2129.7
LinuxVM,sssdragon,bvh,2099.8
LinuxVM,sssdragon,kdtree,4002.1
LinuxVM,sssdragon,mitchell,2110.3
LinuxVM,sssdragon,sinc,2119.6
macOS,coffee-splash,bvh,1155.1
macOS,coffee-splash,kdtree,1425.4
macOS,coffee-splash,mitchell,1174.7
macOS,coffee-splash,sinc,1220.3
macOS,ganesha,bvh,529.4
macOS,ganesha,kdtree,719.6
macOS,ganesha,mitchell,529.5
macOS,ganesha,sinc,579
macOS,pbrt-book,bvh,1565.5
macOS,pbrt-book,kdtree,1565.4
macOS,pbrt-book,mitchell,1591.2
macOS,pbrt-book,sinc,1675.5
macOS,sssdragon,bvh,1505.2
macOS,sssdragon,kdtree,2987.2
macOS,sssdragon,mitchell,1515.1
macOS,sssdragon,sinc,1575.3
LinuxHW,coffee-splash,bvh,2002.8
LinuxHW,coffee-splash,kdtree,2457.8
LinuxHW,coffee-splash,mitchell,1972.8
LinuxHW,coffee-splash,sinc,1977.8
LinuxHW,ganesha,bvh,852.6
LinuxHW,ganesha,kdtree,1127.8
LinuxHW,ganesha,mitchell,847.7
LinuxHW,ganesha,sinc,887.6
LinuxHW,pbrt-book,bvh,2557.8
LinuxHW,pbrt-book,kdtree,2512.7
LinuxHW,pbrt-book,mitchell,2782.7
LinuxHW,pbrt-book,sinc,2617.7
LinuxHW,sssdragon,bvh,2527.8
LinuxHW,sssdragon,kdtree,4782.9
LinuxHW,sssdragon,mitchell,2472.8
LinuxHW,sssdragon,sinc,2587.8
Windows,coffee-splash,bvh,2007
Windows,coffee-splash,kdtree,2328.6
Windows,coffee-splash,mitchell,1980.5
Windows,coffee-splash,sinc,2112.7
Windows,ganesha,bvh,765.2
Windows,ganesha,kdtree,985.9
Windows,ganesha,mitchell,746
Windows,ganesha,sinc,820.7
Windows,pbrt-book,bvh,2311.7
Windows,pbrt-book,kdtree,2446.3
Windows,pbrt-book,mitchell,2344.8
Windows,pbrt-book,sinc,2532.4
Windows,sssdragon,bvh,2020.9
Windows,sssdragon,kdtree,4186.4
Windows,sssdragon,mitchell,1906.2
Windows,sssdragon,sinc,2062.4
WSL,coffee-splash,bvh,1394.1
WSL,coffee-splash,kdtree,1700.2
WSL,coffee-splash,mitchell,1414.6
WSL,coffee-splash,sinc,1445.3
WSL,ganesha,bvh,626.8
WSL,ganesha,kdtree,807.1
WSL,ganesha,mitchell,626.4
WSL,ganesha,sinc,656.5
WSL,pbrt-book,bvh,1828.7
WSL,pbrt-book,kdtree,1848.9
WSL,pbrt-book,mitchell,1828.8
WSL,pbrt-book,sinc,1913.8
WSL,sssdragon,bvh,1840.6
WSL,sssdragon,kdtree,3456.8
WSL,sssdragon,mitchell,1835.8
WSL,sssdragon,sinc,1860.5
LinuxVM,coffee-splash,bvh,1553.8
LinuxVM,coffee-splash,kdtree,1974
LinuxVM,coffee-splash,mitchell,1632.7
LinuxVM,coffee-splash,sinc,1678.9
LinuxVM,ganesha,bvh,683.6
LinuxVM,ganesha,kdtree,930.4
LinuxVM,ganesha,mitchell,708.4
LinuxVM,ganesha,sinc,758.8
LinuxVM,pbrt-book,bvh,2034.5
LinuxVM,pbrt-book,kdtree,2039.2
LinuxVM,pbrt-book,mitchell,2059
LinuxVM,pbrt-book,sinc,2158.6
LinuxVM,sssdragon,bvh,2153.6
LinuxVM,sssdragon,kdtree,4031
LinuxVM,sssdragon,mitchell,2149.3
LinuxVM,sssdragon,sinc,2164.9
macOS,coffee-splash,bvh,1170.2
macOS,coffee-splash,kdtree,1430
macOS,coffee-splash,mitchell,1190.3
macOS,coffee-splash,sinc,1215.1
macOS,ganesha,bvh,539.4
macOS,ganesha,kdtree,719.5
macOS,ganesha,mitchell,539.7
macOS,ganesha,sinc,579.3
macOS,pbrt-book,bvh,1575.4
macOS,pbrt-book,kdtree,1575.2
macOS,pbrt-book,mitchell,1635.3
macOS,pbrt-book,sinc,1690.1
macOS,sssdragon,bvh,1520.5
macOS,sssdragon,kdtree,2986.7
macOS,sssdragon,mitchell,1515.3
macOS,sssdragon,sinc,1565
LinuxHW,coffee-splash,bvh,1797.8
LinuxHW,coffee-splash,kdtree,2277.8
LinuxHW,coffee-splash,mitchell,1897.8
LinuxHW,coffee-splash,sinc,1942.8
LinuxHW,ganesha,bvh,837.7
LinuxHW,ganesha,kdtree,1082.6
LinuxHW,ganesha,mitchell,827.6
LinuxHW,ganesha,sinc,872.7
LinuxHW,pbrt-book,bvh,2457.8
LinuxHW,pbrt-book,kdtree,2447.8
LinuxHW,pbrt-book,mitchell,2537.7
LinuxHW,pbrt-book,sinc,2572.8
LinuxHW,sssdragon,bvh,2417.8
LinuxHW,sssdragon,kdtree,4617.9
LinuxHW,sssdragon,mitchell,2427.8
LinuxHW,sssdragon,sinc,2492.8
Windows,coffee-splash,bvh,1956.9
Windows,coffee-splash,kdtree,2308.5
Windows,coffee-splash,mitchell,1987.2
Windows,coffee-splash,sinc,2016.8
Windows,ganesha,bvh,739.8
Windows,ganesha,kdtree,986.6
Windows,ganesha,mitchell,744.6
Windows,ganesha,sinc,785.2
Windows,pbrt-book,bvh,2331.5
Windows,pbrt-book,kdtree,2317.6
Windows,pbrt-book,mitchell,2331.4
